#Release 13.1 - par O.40d (nt)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Thu Feb 16 10:35:50 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       u1e_map.ncd
#OUTPUT FILE:      u1e_pad.csv
#PART TYPE:        xc3sd1800a
#SPEED GRADE:      -4
#PACKAGE:          cs484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,,PROG_B,,,,,,,,,,,,
A3,overo_gpio22,IBUF,IO_L30N_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
A4,overo_gpio64,IBUF,IO_L28N_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
A5,overo_gpio144,IOB,IO_L25N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
A6,overo_gpio146,IOB,IO_L25P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
A7,EM_A<2>,IBUF,IO_L24N_0/VREF_0,INPUT,LVCMOS25*,0,,,,BOTH,,LOCATED,YES,NONE,
A8,,DIFFMTB,IO_L20P_0/GCLK10,UNUSED,,0,,,,,,,,,
A9,,DIFFMTB,IO_L18P_0/GCLK6,UNUSED,,0,,,,,,,,,
A10,EM_A<4>,IBUF,IP_0,INPUT,LVCMOS25*,0,,,,BOTH,,LOCATED,YES,NONE,
A11,,DIFFSTB,IO_L15N_0,UNUSED,,0,,,,,,,,,
A12,EM_A<5>,IBUF,IP_0,INPUT,LVCMOS25*,0,,,,BOTH,,LOCATED,YES,NONE,
A13,EM_NBE<0>,IBUF,IO_L11P_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
A14,EM_NOE,IBUF,IO_L10P_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
A15,EM_A<6>,IBUF,IP_0,INPUT,LVCMOS25*,0,,,,BOTH,,LOCATED,YES,NONE,
A16,,DIFFMTB,IO_L06P_0/VREF_0,UNUSED,,0,,,,,,,,,
A17,EM_D<10>,IOB,IO_L06N_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,BOTH,,LOCATED,YES,NONE,
A18,EM_A<7>,IBUF,IP_0,INPUT,LVCMOS25*,0,,,,BOTH,,LOCATED,YES,NONE,
A19,EM_D<11>,IOB,IO_L07N_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,BOTH,,LOCATED,YES,NONE,
A20,EM_D<0>,IOB,IO_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,BOTH,,LOCATED,YES,NONE,
A21,,,TCK,,,,,,,,,,,,
A22,,,GND,,,,,,,,,,,,
AA1,,DIFFSI_NDT,IP_L39N_3/VREF_3,UNUSED,,3,,,,,,,,,
AA2,,,VCCAUX,,,,,,,,2.5,,,,
AA3,,DIFFMTB,IO_L01P_2/M1,UNUSED,,2,,,,,,,,,
AA4,io_rx<13>,IOB,IO_L04N_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AA5,,,VCCO_2,,,2,,,,,2.50,,,,
AA6,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
AA7,,,GND,,,,,,,,,,,,
AA8,io_rx<7>,IOB,IO_L08N_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AA9,,,VCCO_2,,,2,,,,,2.50,,,,
AA10,,DIFFSTB,IO_L12N_2/D6,UNUSED,,2,,,,,,,,,
AA11,,,GND,,,,,,,,,,,,
AA12,,DIFFMTB,IO_L16P_2/GCLK14,UNUSED,,2,,,,,,,,,
AA13,,,VCCO_2,,,2,,,,,2.50,,,,
AA14,,DIFFSTB,IO_L18N_2/GCLK3,UNUSED,,2,,,,,,,,,
AA15,io_tx<14>,IOB,IO_L19P_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AA16,,,GND,,,,,,,,,,,,
AA17,,DIFFMTB,IO_L22P_2/AWAKE,UNUSED,,2,,,,,,,,,
AA18,,,VCCO_2,,,2,,,,,2.50,,,,
AA19,io_tx<6>,IOB,IO_L27N_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AA20,,DIFFMTB,IO_L30P_2,UNUSED,,2,,,,,,,,,
