#Release 13.2 - par O.61xd (lin)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Wed Oct 26 06:42:31 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       u2plus_map.ncd
#OUTPUT FILE:      u2plus_pad.csv
#PART TYPE:        xc3sd3400a
#SPEED GRADE:      -5
#PACKAGE:          fg676
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,,PROG_B,,,,,,,,,,,,
A3,,DIFFMTB,IO_L51P_0,UNUSED,,0,,,,,,,,,
A4,RAM_D<11>,IOB,IO_L45P_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
A5,,,GND,,,,,,,,,,,,
A6,,,GND,,,,,,,,,,,,
A7,,,VCCO_0,,,0,,,,,2.50,,,,
A8,,DIFFMTB,IO_L38P_0,UNUSED,,0,,,,,,,,,
A9,RAM_BWn<2>,IOB,IO_L36P_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,NO,NONE,
A10,RAM_CLK,IOB,IO_L33P_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,YES,NONE,
A11,,,GND,,,,,,,,,,,,
A12,RAM_A<5>,IOB,IO_L29P_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,YES,NONE,
A13,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
A14,,DIFFSTB,IO_L26N_0/GCLK7,UNUSED,,0,,,,,,,,,
A15,RAM_A<10>,IOB,IO_L23N_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,YES,NONE,
A16,,,GND,,,,,,,,,,,,
A17,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
A18,RAM_A<19>,IOB,IO_L18N_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,NO,NONE,
A19,,DIFFSTB,IO_L15N_0,UNUSED,,0,,,,,,,,,
A20,,DIFFSTB,IO_L14N_0,UNUSED,,0,,,,,,,,,
A21,,,GND,,,,,,,,,,,,
A22,RAM_D<25>,IOB,IO_L07N_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
A23,,,GND,,,,,,,,,,,,
A24,,,VCCAUX,,,,,,,,2.5,,,,
A25,,,TCK,,,,,,,,,,,,
A26,,,GND,,,,,,,,,,,,
AA1,,,GND,,,,,,,,,,,,
AA2,ADCB_0_p,IBUF,IO_L55P_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
AA3,ADCB_0_n,IBUF,IO_L55N_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
AA4,,,GND,,,,,,,,,,,,
AA5,MISO_TX_DB,IBUF,IP_3/VREF_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
AA6,,,GND,,,,,,,,,,,,
AA7,flash_cs,IOB,IO_L02N_2/CSO_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AA8,,,VCCINT,,,,,,,,1.2,,,,
AA9,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
AA10,debug_clk<0>,IOB,IO_L12N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AA11,,,GND,,,,,,,,,,,,
AA12,,DIFFSTB,IO_L17N_2/VS2,UNUSED,,2,,,,,,,,,
AA13,CLK_FPGA_P,DIFFMI_NDT,IO_L25P_2/GCLK12,,LVPECL_25,2,,,,,,LOCATED,NO,,
AA14,exp_time_out_n,DIFFSTB,IO_L27N_2/GCLK1,OUTPUT,LVDS_25,2,,,NONE**,,,LOCATED,NO,NONE,
AA15,,DIFFMTB,IO_L34P_2/INIT_B,UNUSED,,2,,,,,,,,,
AA16,,,GND,,,,,,,,,,,,
AA17,clk_en<1>,IOB,IO_L43P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
AA18,SEN_CLK,IOB,IO_L47N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AA19,,,GND,,,,,,,,,,,,
AA20,PPS2_IN,IBUF,IP_2/VREF_2,INPUT,LVCMOS25*,2,,,,IBUF,,LOCATED,NO,NONE,
AA21,,,GND,,,,,,,,,,,,
